"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-01-01","11.63",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","19","H,,S","26",",,W","13",",,W","  320",",,W","  330",",,W","23.9",",,W","31.1",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-01-02","7.83",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","18","H,,S","26",",,W","13",",,W","  260",",,W","  320",",,W","15.0",",,W","19.9",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-01-03","3.80",",,W","0.00","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400","23","H,,S","35",",,W","13",",,W","   50",",,W","   30",",,W","12.1",",,W","13.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-01-04","19.91",",,W","0.10",",,W,2400","0.8",",,W,2400","1.2",",,W,2400","26","H,,S","27",",,W","16",",,W","  320",",,W","  310",",,W","35.1",",,W","49.0",",,W","    1",",,W",,,,,,,,,,,,,"    1",",,W"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-01-05","15.66",",,W","0.00",",,W,2400","0.0",",,W,2400","1.2",",,W,2400","17","H,,S","21",",,W","13",",,W","  310",",,W","  320",",,W","30.0",",,W","38.9",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-01-06","13.42",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0","T,,W,2400","15","H,,S","21",",,W","11",",,W","  270",",,W","  260",",,W","25.9",",,W","34.0",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-01-07","8.95",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","15","H,,S","23",",,W","8",",,W","  190",",,W","  320",",,W","15.0",",,W","21.0",",,W",,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-01-08","8.50",",,W","0.06",",,W,2400","0.0","T,,W,2400","0.0",",,W,2400","25","H,,S","39",",,W","19",",,W","  200",",,W","  200",",,W","16.1",",,W","19.9",",,W",,,,,,,"    1",",,W",,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-01-09","5.37",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","38","H,,S","51",",,W","30",",,W","  350",",,W","  340",",,W","14.1",",,W","18.1",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.8472","-77.03454","3.0","2018-01-10","3.36",",,W","0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","36","H,,S","43",",,W","27",",,W","   40",",,W","   40",",,W","8.9",",,W","8.9",",,W",,,,,,,,,,,,,,,,
