"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"186","20001, Northwest Washington, Washington","1","5400 Arnold Avenue Southwest, Southwest Washington, Washington","1/21/2018 - 1/21/2018, Every day, Daily Average",632,472,845
"186","20001, Northwest Washington, Washington","2","1400 Juniper Street Northwest, Northwest Washington, Washington","1/21/2018 - 1/21/2018, Every day, Daily Average",1551,1304,1843
"186","20001, Northwest Washington, Washington","3","4800 Canal Road Northwest, Northwest Washington, Washington","1/21/2018 - 1/21/2018, Every day, Daily Average",1190,989,1431
"186","20001, Northwest Washington, Washington","4","2700 Unicorn Lane Northwest, Northwest Washington, Washington","1/21/2018 - 1/21/2018, Every day, Daily Average",1585,1325,1895
"186","20001, Northwest Washington, Washington","5","4500 Q Place Northwest, Northwest Washington, Washington","1/21/2018 - 1/21/2018, Every day, Daily Average",889,705,1120
"186","20001, Northwest Washington, Washington","6","Ridge Road Northwest, Northwest Washington, Washington","1/21/2018 - 1/21/2018, Every day, Daily Average",1332,1088,1629
"186","20001, Northwest Washington, Washington","7","4500 Ohio Drive Southwest, Southwest Washington, Washington","1/21/2018 - 1/21/2018, Every day, Daily Average",241,129,448
"186","20001, Northwest Washington, Washington","8","0 H Street Northwest, Northwest Washington, Washington","1/21/2018 - 1/21/2018, Every day, Daily Average",170,72,400
"186","20001, Northwest Washington, Washington","9","1800 Upshur Street Northwest, Northwest Washington, Washington","1/21/2018 - 1/21/2018, Every day, Daily Average",1070,854,1339
"186","20001, Northwest Washington, Washington","10","1500 30th Street Northwest, Northwest Washington, Washington","1/21/2018 - 1/21/2018, Every day, Daily Average",622,425,909
"186","20001, Northwest Washington, Washington","11","1600 Tuckerman Street Northwest, Northwest Washington, Washington","1/21/2018 - 1/21/2018, Every day, Daily Average",1353,1121,1631
"186","20001, Northwest Washington, Washington","13","2100 Monticello Court, Fort Washington","1/21/2018 - 1/21/2018, Every day, Daily Average",1228,1053,1431
"186","20001, Northwest Washington, Washington","14","0 Hesketh Street, Chevy Chase","1/21/2018 - 1/21/2018, Every day, Daily Average",1621,1291,2034
"186","20001, Northwest Washington, Washington","15","8100 Roanoke Avenue, Takoma Park","1/21/2018 - 1/21/2018, Every day, Daily Average",2052,1676,2511
"186","20001, Northwest Washington, Washington","16","8800 Walden Road, Silver Spring","1/21/2018 - 1/21/2018, Every day, Daily Average",2076,1662,2592
"186","20001, Northwest Washington, Washington","17","8300 Colesville Road, Downtown Silver Spring, Silver Spring","1/21/2018 - 1/21/2018, Every day, Daily Average",1699,1432,2015
"186","20001, Northwest Washington, Washington","18","8900 Moreland Lane, Annandale","1/21/2018 - 1/21/2018, Every day, Daily Average",1300,1103,1531
"186","20001, Northwest Washington, Washington","19","Thomas Avenue, Arlington","1/21/2018 - 1/21/2018, Every day, Daily Average",534,399,713
"186","20001, Northwest Washington, Washington","20","McClellan Drive, Arlington","1/21/2018 - 1/21/2018, Every day, Daily Average",436,294,646
"186","20001, Northwest Washington, Washington","21","3600 North Vernon Street, Old Glebe, Arlington","1/21/2018 - 1/21/2018, Every day, Daily Average",946,717,1246
"186","20001, Northwest Washington, Washington","22","6500 Park View Court, West Springfield","1/21/2018 - 1/21/2018, Every day, Daily Average",1327,1203,1463
"186","20001, Northwest Washington, Washington","23","6500 Bellamine Court, McLean","1/21/2018 - 1/21/2018, Every day, Daily Average",1090,871,1362
"186","20001, Northwest Washington, Washington","24","8600 Brook Road, McLean","1/21/2018 - 1/21/2018, Every day, Daily Average",1495,1214,1839
"186","20001, Northwest Washington, Washington","25","8200 Mockingbird Drive, Annandale","1/21/2018 - 1/21/2018, Every day, Daily Average",1318,1091,1591
"186","20001, Northwest Washington, Washington","26","9400 Pamlico Lane, Great Falls","1/21/2018 - 1/21/2018, Every day, Daily Average",1340,1058,1695
"186","20001, Northwest Washington, Washington","27","6200 Everglades Drive, Alexandria","1/21/2018 - 1/21/2018, Every day, Daily Average",1142,875,1488
"186","20001, Northwest Washington, Washington","28","2100 North Scott Street, North Highland, Arlington","1/21/2018 - 1/21/2018, Every day, Daily Average",687,482,977
"186","20001, Northwest Washington, Washington","29","700 Carpenter Road, Potomac Yard, Alexandria","1/21/2018 - 1/21/2018, Every day, Daily Average",723,547,954
"186","20001, Northwest Washington, Washington","30","0 Auburn Court, Potomac West, Alexandria","1/21/2018 - 1/21/2018, Every day, Daily Average",848,643,1118
"186","20001, Northwest Washington, Washington","31","1000 C Street Northeast, Northeast Washington, Washington","1/21/2018 - 1/21/2018, Every day, Daily Average",646,513,812
"186","20001, Northwest Washington, Washington","32","2600 13th Street Northwest, Northwest Washington, Washington","1/21/2018 - 1/21/2018, Every day, Daily Average",671,493,912
"186","20001, Northwest Washington, Washington","33","4400 E Street Southeast, Benning Ridge, Washington","1/21/2018 - 1/21/2018, Every day, Daily Average",1187,932,1511
"186","20001, Northwest Washington, Washington","34","1700 Independence Avenue Southeast, Southeast Washington, Washington","1/21/2018 - 1/21/2018, Every day, Daily Average",863,711,1046
"186","20001, Northwest Washington, Washington","35","2100 1st Street Northwest, Northwest Washington, Washington","1/21/2018 - 1/21/2018, Every day, Daily Average",684,497,940
"186","20001, Northwest Washington, Washington","36","500 17th Street Northeast, Northeast Washington, Washington","1/21/2018 - 1/21/2018, Every day, Daily Average",884,688,1135
"186","20001, Northwest Washington, Washington","37","3500 Toledo Terrace, Chillum","1/21/2018 - 1/21/2018, Every day, Daily Average",1738,1463,2064
"186","20001, Northwest Washington, Washington","38","5300 Westport Road, Chevy Chase","1/21/2018 - 1/21/2018, Every day, Daily Average",1506,1263,1795
"186","20001, Northwest Washington, Washington","39","Woodrow Wilson Memorial Bridge, Old Town, Alexandria","1/21/2018 - 1/21/2018, Every day, Daily Average",938,785,1119
"186","20001, Northwest Washington, Washington","40","6000 Rixey Drive, Fair Haven, Alexandria","1/21/2018 - 1/21/2018, Every day, Daily Average",1289,1028,1616
"186","20001, Northwest Washington, Washington","41","2000 Rosedale Street Northeast, Northeast Washington, Washington","1/21/2018 - 1/21/2018, Every day, Daily Average",1025,810,1296
"186","20001, Northwest Washington, Washington","42","4200 10th Street Northeast, Northeast Washington, Washington","1/21/2018 - 1/21/2018, Every day, Daily Average",1017,788,1311
"186","20001, Northwest Washington, Washington","43","900 Randolph Street Northwest, Northwest Washington, Washington","1/21/2018 - 1/21/2018, Every day, Daily Average",1011,764,1336
"186","20001, Northwest Washington, Washington","44","1200 New Jersey Avenue Southeast, Southeast Washington, Washington","1/21/2018 - 1/21/2018, Every day, Daily Average",416,302,572
