"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"186","20001, Northwest Washington, Washington","1","5400 Arnold Avenue Southwest, Southwest Washington, Washington","2/5/2018 - 2/5/2018, Every day, Daily Average",792,568,1103
"186","20001, Northwest Washington, Washington","2","1400 Juniper Street Northwest, Northwest Washington, Washington","2/5/2018 - 2/5/2018, Every day, Daily Average",1762,1389,2234
"186","20001, Northwest Washington, Washington","3","4800 Canal Road Northwest, Northwest Washington, Washington","2/5/2018 - 2/5/2018, Every day, Daily Average",1316,1006,1720
"186","20001, Northwest Washington, Washington","4","2700 Unicorn Lane Northwest, Northwest Washington, Washington","2/5/2018 - 2/5/2018, Every day, Daily Average",1962,1468,2621
"186","20001, Northwest Washington, Washington","5","4500 Q Place Northwest, Northwest Washington, Washington","2/5/2018 - 2/5/2018, Every day, Daily Average",1151,797,1660
"186","20001, Northwest Washington, Washington","6","Ridge Road Northwest, Northwest Washington, Washington","2/5/2018 - 2/5/2018, Every day, Daily Average",1379,1055,1801
"186","20001, Northwest Washington, Washington","7","4500 Ohio Drive Southwest, Southwest Washington, Washington","2/5/2018 - 2/5/2018, Every day, Daily Average",286,138,589
"186","20001, Northwest Washington, Washington","8","0 H Street Northwest, Northwest Washington, Washington","2/5/2018 - 2/5/2018, Every day, Daily Average",204,88,472
"186","20001, Northwest Washington, Washington","9","1800 Upshur Street Northwest, Northwest Washington, Washington","2/5/2018 - 2/5/2018, Every day, Daily Average",1270,961,1678
"186","20001, Northwest Washington, Washington","10","1500 30th Street Northwest, Northwest Washington, Washington","2/5/2018 - 2/5/2018, Every day, Daily Average",807,531,1224
"186","20001, Northwest Washington, Washington","11","1600 Tuckerman Street Northwest, Northwest Washington, Washington","2/5/2018 - 2/5/2018, Every day, Daily Average",1574,1218,2033
"186","20001, Northwest Washington, Washington","14","0 Hesketh Street, Chevy Chase","2/5/2018 - 2/5/2018, Every day, Daily Average",1740,1322,2288
"186","20001, Northwest Washington, Washington","17","8300 Colesville Road, Downtown Silver Spring, Silver Spring","2/5/2018 - 2/5/2018, Every day, Daily Average",1844,1479,2298
"186","20001, Northwest Washington, Washington","18","8900 Moreland Lane, Annandale","2/5/2018 - 2/5/2018, Every day, Daily Average",1749,1255,2436
"186","20001, Northwest Washington, Washington","19","Thomas Avenue, Arlington","2/5/2018 - 2/5/2018, Every day, Daily Average",601,437,824
"186","20001, Northwest Washington, Washington","20","McClellan Drive, Arlington","2/5/2018 - 2/5/2018, Every day, Daily Average",532,338,835
"186","20001, Northwest Washington, Washington","21","3600 North Vernon Street, Old Glebe, Arlington","2/5/2018 - 2/5/2018, Every day, Daily Average",1071,803,1428
"186","20001, Northwest Washington, Washington","23","6500 Bellamine Court, McLean","2/5/2018 - 2/5/2018, Every day, Daily Average",1205,956,1518
"186","20001, Northwest Washington, Washington","24","8600 Brook Road, McLean","2/5/2018 - 2/5/2018, Every day, Daily Average",1609,1274,2031
"186","20001, Northwest Washington, Washington","25","8200 Mockingbird Drive, Annandale","2/5/2018 - 2/5/2018, Every day, Daily Average",1726,1285,2317
"186","20001, Northwest Washington, Washington","26","9400 Pamlico Lane, Great Falls","2/5/2018 - 2/5/2018, Every day, Daily Average",1356,1110,1656
"186","20001, Northwest Washington, Washington","27","6200 Everglades Drive, Alexandria","2/5/2018 - 2/5/2018, Every day, Daily Average",1635,1252,2133
"186","20001, Northwest Washington, Washington","28","2100 North Scott Street, North Highland, Arlington","2/5/2018 - 2/5/2018, Every day, Daily Average",807,574,1132
"186","20001, Northwest Washington, Washington","29","700 Carpenter Road, Potomac Yard, Alexandria","2/5/2018 - 2/5/2018, Every day, Daily Average",883,629,1239
"186","20001, Northwest Washington, Washington","30","0 Auburn Court, Potomac West, Alexandria","2/5/2018 - 2/5/2018, Every day, Daily Average",1121,804,1561
"186","20001, Northwest Washington, Washington","31","1000 C Street Northeast, Northeast Washington, Washington","2/5/2018 - 2/5/2018, Every day, Daily Average",755,565,1008
"186","20001, Northwest Washington, Washington","32","2600 13th Street Northwest, Northwest Washington, Washington","2/5/2018 - 2/5/2018, Every day, Daily Average",727,511,1033
"186","20001, Northwest Washington, Washington","33","4400 E Street Southeast, Benning Ridge, Washington","2/5/2018 - 2/5/2018, Every day, Daily Average",1448,1109,1888
"186","20001, Northwest Washington, Washington","34","1700 Independence Avenue Southeast, Southeast Washington, Washington","2/5/2018 - 2/5/2018, Every day, Daily Average",1067,787,1444
"186","20001, Northwest Washington, Washington","35","2100 1st Street Northwest, Northwest Washington, Washington","2/5/2018 - 2/5/2018, Every day, Daily Average",759,493,1168
